theta,j,j_abs_uncert
2.50000000E+00,1.40202754E-03,1.50016946E-06
7.50000000E+00,1.38842453E-03,1.47173000E-06
1.25000000E+01,1.38516560E-03,1.46827553E-06
1.75000000E+01,1.38929357E-03,1.47265119E-06
2.25000000E+01,1.40016874E-03,1.48417886E-06
2.75000000E+01,1.42044652E-03,1.50567331E-06
3.25000000E+01,1.44866643E-03,1.52109976E-06
3.75000000E+01,1.48392322E-03,1.54328015E-06
4.25000000E+01,1.52930683E-03,1.57518603E-06
4.75000000E+01,1.58200492E-03,1.59782497E-06
5.25000000E+01,1.64015870E-03,1.64015870E-06
5.75000000E+01,1.70804099E-03,1.69096058E-06
6.25000000E+01,1.78526554E-03,1.73170757E-06
6.75000000E+01,1.86836823E-03,1.79363350E-06
7.25000000E+01,1.96039073E-03,1.84276729E-06
7.75000000E+01,2.06106750E-03,1.89618210E-06
8.25000000E+01,2.16987953E-03,1.95289158E-06
8.75000000E+01,2.28586120E-03,2.01155785E-06
9.25000000E+01,2.40739511E-03,2.07035980E-06
9.75000000E+01,2.53637629E-03,2.13055608E-06
1.02500000E+02,2.67385482E-03,2.19256095E-06
1.07500000E+02,2.81541305E-03,2.25233044E-06
1.12500000E+02,2.96212521E-03,2.31045766E-06
1.17500000E+02,3.11102206E-03,2.36437677E-06
1.22500000E+02,3.25828945E-03,2.44371709E-06
1.27500000E+02,3.40852608E-03,2.48822404E-06
1.32500000E+02,3.55522618E-03,2.55976285E-06
1.37500000E+02,3.69639816E-03,2.58747871E-06
1.42500000E+02,3.83009875E-03,2.64276813E-06
1.47500000E+02,3.95328627E-03,2.64870180E-06
1.52500000E+02,4.06647974E-03,2.68387663E-06
1.57500000E+02,4.16592536E-03,2.70785148E-06
1.62500000E+02,4.25339743E-03,2.72217436E-06
1.67500000E+02,4.32890803E-03,2.72721206E-06
1.72500000E+02,4.38818433E-03,2.76455613E-06
1.77500000E+02,4.43919261E-03,2.79669134E-06
1.82500000E+02,4.46951272E-03,2.77109788E-06
1.87500000E+02,4.48614533E-03,2.78141010E-06
1.92500000E+02,4.48828174E-03,2.78273468E-06
1.97500000E+02,4.47350792E-03,2.77357491E-06
2.02500000E+02,4.44305504E-03,2.75469413E-06
2.07500000E+02,4.40299435E-03,2.77388644E-06
2.12500000E+02,4.34185926E-03,2.73537133E-06
2.17500000E+02,4.26876268E-03,2.73200812E-06
2.22500000E+02,4.18425985E-03,2.71976891E-06
2.27500000E+02,4.08206225E-03,2.69416109E-06
2.32500000E+02,3.97288812E-03,2.66183504E-06
2.37500000E+02,3.85362339E-03,2.62046390E-06
2.42500000E+02,3.72699588E-03,2.60889712E-06
2.47500000E+02,3.58963805E-03,2.54864302E-06
2.52500000E+02,3.45149567E-03,2.51959184E-06
2.57500000E+02,3.30848903E-03,2.44828188E-06
2.62500000E+02,3.16740154E-03,2.40722517E-06
2.67500000E+02,3.02625369E-03,2.36047788E-06
2.72500000E+02,2.88671117E-03,2.30936894E-06
2.77500000E+02,2.75047586E-03,2.25539021E-06
2.82500000E+02,2.61728222E-03,2.17234424E-06
2.87500000E+02,2.49026848E-03,2.11672820E-06
2.92500000E+02,2.36763618E-03,2.05984347E-06
2.97500000E+02,2.25185970E-03,2.00415513E-06
3.02500000E+02,2.14222691E-03,1.94942649E-06
3.07500000E+02,2.04066902E-03,1.89782219E-06
3.12500000E+02,1.94356500E-03,1.82695110E-06
3.17500000E+02,1.85592395E-03,1.78168699E-06
3.22500000E+02,1.77501801E-03,1.73951765E-06
3.27500000E+02,1.70165590E-03,1.68463934E-06
3.32500000E+02,1.63671872E-03,1.65308590E-06
3.37500000E+02,1.57785280E-03,1.60940986E-06
3.42500000E+02,1.52703765E-03,1.58811915E-06
3.47500000E+02,1.48275242E-03,1.55689004E-06
3.52500000E+02,1.44778532E-03,1.52017458E-06
3.57500000E+02,1.41957747E-03,1.50475212E-06
