train samples            , test samples            , learning_rate           , num_layers              , nodes_per_layer         , r2                      , mae                     , mse                     , time                    
2100                     , 444                     , 5.0050E-03              , 12                      , 77                      , -4.1093E-05             , 1.6915E-01              , 3.9637E-02              , 2023-03-20 16:36:42.944518
2100                     , 444                     , 5.4011E-03              , 12                      , 118                     , -1.6133E-04             , 1.6915E-01              , 3.9640E-02              , 2023-03-20 16:38:29.171108
2100                     , 444                     , 6.9546E-03              , 12                      , 70                      , -3.2656E-04             , 1.6919E-01              , 3.9641E-02              , 2023-03-20 16:40:08.969068
2100                     , 444                     , 3.2587E-03              , 6                       , 17                      , 6.4262E-01              , 8.5752E-02              , 1.3909E-02              , 2023-03-20 16:41:45.613946
2100                     , 444                     , 7.2224E-03              , 17                      , 26                      , -3.0233E-04             , 1.6915E-01              , 3.9642E-02              , 2023-03-20 16:42:56.708107
2100                     , 444                     , 4.9076E-03              , 17                      , 22                      , -7.3508E-05             , 1.6917E-01              , 3.9639E-02              , 2023-03-20 16:44:29.890183
2100                     , 444                     , 9.4998E-03              , 8                       , 37                      , -6.5825E-04             , 1.6911E-01              , 3.9645E-02              , 2023-03-20 16:46:10.051587
2100                     , 444                     , 9.6678E-03              , 14                      , 142                     , -4.2683E-04             , 1.6913E-01              , 3.9646E-02              , 2023-03-20 16:47:51.601151
2100                     , 444                     , 9.8141E-03              , 9                       , 45                      , -1.4600E-04             , 1.6916E-01              , 3.9642E-02              , 2023-03-20 16:48:54.651847
2100                     , 444                     , 7.9336E-03              , 14                      , 90                      , -1.7471E-04             , 1.6914E-01              , 3.9639E-02              , 2023-03-20 16:52:38.589863
2100                     , 444                     , 2.3346E-03              , 18                      , 46                      , -3.6133E-05             , 1.6916E-01              , 3.9637E-02              , 2023-03-20 16:56:18.326621
2100                     , 444                     , 1.0000E-05              , 5                       , 150                     , 8.1258E-01              , 5.5941E-02              , 6.9421E-03              , 2023-03-20 17:03:31.245369
2100                     , 444                     , 1.0000E-05              , 7                       , 146                     , 9.9851E-01              , 5.4471E-03              , 4.9818E-05              , 2023-03-20 17:36:04.133058
2100                     , 444                     , 9.7790E-03              , 20                      , 135                     , -2.4651E-04             , 1.6917E-01              , 3.9645E-02              , 2023-03-20 17:37:41.807185
2100                     , 444                     , 7.9382E-04              , 10                      , 144                     , 7.9965E-01              , 5.9225E-02              , 7.3010E-03              , 2023-03-20 17:38:45.482597
2100                     , 444                     , 1.5766E-04              , 11                      , 147                     , 7.8814E-01              , 6.0341E-02              , 7.7605E-03              , 2023-03-20 17:40:17.698284
2100                     , 444                     , 9.6800E-03              , 16                      , 146                     , -1.8042E-04             , 1.6918E-01              , 3.9643E-02              , 2023-03-20 17:41:57.673017
2100                     , 444                     , 2.0084E-04              , 15                      , 146                     , 9.4101E-01              , 2.5611E-02              , 1.1978E-03              , 2023-03-20 18:05:30.093704
2100                     , 444                     , 2.4650E-05              , 13                      , 138                     , 4.7601E-01              , 1.0854E-01              , 1.9180E-02              , 2023-03-20 18:08:55.423010
2100                     , 444                     , 2.6443E-05              , 19                      , 13                      , -1.3242E-06             , 1.6915E-01              , 3.9635E-02              , 2023-03-20 18:10:48.847671
2100                     , 444                     , 9.7243E-03              , 7                       , 5                       , -3.3192E-04             , 1.6916E-01              , 3.9648E-02              , 2023-03-20 18:12:21.405258
2100                     , 444                     , 1.0000E-05              , 8                       , 143                     , 6.5406E-01              , 8.2722E-02              , 1.3165E-02              , 2023-03-20 18:16:06.754530
2100                     , 444                     , 1.0000E-05              , 6                       , 127                     , 8.1227E-01              , 5.7375E-02              , 7.0735E-03              , 2023-03-20 18:20:59.206175
2100                     , 444                     , 4.3257E-05              , 5                       , 18                      , 1.6171E-01              , 1.4952E-01              , 3.2962E-02              , 2023-03-20 18:23:48.227739
2100                     , 444                     , 2.4352E-03              , 5                       , 145                     , 9.9820E-01              , 5.8566E-03              , 5.7288E-05              , 2023-03-20 18:25:50.402868
2100                     , 444                     , 2.1059E-03              , 5                       , 150                     , 9.9852E-01              , 5.7206E-03              , 5.7322E-05              , 2023-03-20 21:02:27.728708
2100                     , 444                     , 1.7533E-03              , 5                       , 200                     , 9.9839E-01              , 6.2254E-03              , 6.4972E-05              , 2023-03-20 21:06:04.164028
2100                     , 444                     , 1.7093E-03              , 5                       , 200                     , 9.9824E-01              , 6.5995E-03              , 7.3218E-05              , 2023-03-20 21:08:37.028663
2100                     , 444                     , 1.6329E-03              , 7                       , 200                     , 9.8979E-01              , 1.5203E-02              , 4.1399E-04              , 2023-03-20 21:13:33.572130
2100                     , 444                     , 2.9574E-03              , 6                       , 196                     , 9.9273E-01              , 1.2769E-02              , 2.7822E-04              , 2023-03-20 21:17:56.882938
2100                     , 444                     , 1.0000E-05              , 7                       , 200                     , 9.9871E-01              , 5.5528E-03              , 5.2997E-05              , 2023-03-20 21:43:27.389853
